#{"t_start": 1775412613.600419, "env_id": "Inverted_Pendulum_version_1"}
r,l,t
50.386138,500,139.42434
49.732724,500,139.486902
46.36828,500,139.862992
50.888356,500,139.926462
47.513558,500,139.988783
50.083598,500,140.050889
50.018864,500,140.114817
46.603116,500,140.492567
52.280631,500,140.554861
44.141537,500,140.617089
47.164759,500,140.679552
52.215226,500,141.057366
50.835861,500,141.119971
47.875885,500,141.182464
51.621339,500,141.245207
46.019606,500,141.621758
50.092011,500,141.684178
52.38454,500,141.745656
50.719941,500,141.807504
50.719799,500,142.182755
49.003366,500,142.24452
49.382839,500,142.305476
47.559005,500,142.366989
